catalogue	duplicate_status	removed_as_duplicate	n_loci
TRExplorer	near_start_duplicate_removed	TRUE	52568
TRExplorer	same_start_duplicate_removed	TRUE	52736
TRExplorer	unique	FALSE	4364335
adotto_TRregions_v1.2	near_start_duplicate_removed	TRUE	15362
adotto_TRregions_v1.2	same_start_duplicate_removed	TRUE	825560
adotto_TRregions_v1.2	unique	FALSE	493958
chiu_hg38.v1	near_start_duplicate_removed	TRUE	2703891
chiu_hg38.v1	same_start_duplicate_removed	TRUE	89312
chiu_hg38.v1	unique	FALSE	2390467
gangstr_hg38_ver17	near_start_duplicate_removed	TRUE	739283
gangstr_hg38_ver17	same_start_duplicate_removed	TRUE	568943
gangstr_hg38_ver17	unique	FALSE	21856
hipstr_hg38	near_start_duplicate_removed	TRUE	461079
hipstr_hg38	same_start_duplicate_removed	TRUE	1096898
hipstr_hg38	unique	FALSE	80108
illumina_174K_hg38	same_start_duplicate_removed	TRUE	162264
illumina_174K_hg38	unique	FALSE	362
platinum_palladium_GRCh38	near_start_duplicate_removed	TRUE	11999
platinum_palladium_GRCh38	same_start_duplicate_removed	TRUE	2101616
platinum_palladium_GRCh38	unique	FALSE	2795029
popstr_chr1_22	near_start_duplicate_removed	TRUE	174543
popstr_chr1_22	same_start_duplicate_removed	TRUE	2215041
popstr_chr1_22	unique	FALSE	165878
ucsc_simpleRepeat	near_start_duplicate_removed	TRUE	1645
ucsc_simpleRepeat	same_start_duplicate_removed	TRUE	281458
ucsc_simpleRepeat	unique	FALSE	46147
vamos_GRCh38_ori	near_start_duplicate_removed	TRUE	760470
vamos_GRCh38_ori	same_start_duplicate_removed	TRUE	5613955
vamos_GRCh38_ori	unique	FALSE	942656
