primary_genomic_feature	population_status	n_repeats
promoter	not_assessed_by_EnsembleTR	462819
other_exon	not_assessed_by_EnsembleTR	184714
intergenic	not_assessed_by_EnsembleTR	2308938
intron	not_assessed_by_EnsembleTR	5886946
five_prime_UTR	not_assessed_by_EnsembleTR	85961
CDS	not_assessed_by_EnsembleTR	109079
intergenic	rare_polymorphic	79149
three_prime_UTR	rare_polymorphic	6890
five_prime_UTR	common_polymorphic	2821
CDS	single_length_observed	3318
three_prime_UTR	not_assessed_by_EnsembleTR	170363
intron	single_length_observed	257447
promoter	single_length_observed	18696
intron	common_polymorphic	475157
intron	rare_polymorphic	228101
three_prime_UTR	common_polymorphic	13542
other_exon	rare_polymorphic	4507
promoter	rare_polymorphic	17121
five_prime_UTR	single_length_observed	2695
intergenic	single_length_observed	97833
promoter	common_polymorphic	36064
CDS	rare_polymorphic	1910
intergenic	common_polymorphic	166887
three_prime_UTR	single_length_observed	6769
five_prime_UTR	rare_polymorphic	3229
other_exon	common_polymorphic	8271
other_exon	single_length_observed	6453
CDS	common_polymorphic	650
