motif_length	population_status	n_repeats
4	not_assessed_by_EnsembleTR	1895548
5	not_assessed_by_EnsembleTR	1432372
2	not_assessed_by_EnsembleTR	1282419
6	not_assessed_by_EnsembleTR	1185877
3	not_assessed_by_EnsembleTR	2201529
5	rare_polymorphic	37455
3	common_polymorphic	24114
3	single_length_observed	66332
5	single_length_observed	49938
6	single_length_observed	22928
4	single_length_observed	196953
4	common_polymorphic	59574
2	rare_polymorphic	56070
2	common_polymorphic	108582
5	common_polymorphic	24764
6	rare_polymorphic	19794
6	common_polymorphic	15241
4	rare_polymorphic	93185
2	single_length_observed	42976
3	rare_polymorphic	43579
1	not_assessed_by_EnsembleTR	1211075
1	rare_polymorphic	90824
1	common_polymorphic	471117
1	single_length_observed	14084
